,Departure_Hour,Flight_Distance_km,Departing_Flights,Airline,Runways_Available,Weather,Aircraft_Weight_kg,Taxi_Out_Time
69,3,2592.0,34.0,Airline_B,4, Clear ,158255,45.25
70,21,175.0,26.0,AIRLINE_A,2,Clear,108005,11.67
71,17,1538.5094736842104,75.0,Airline_B,3,Rainy,93541,29.44
72,11,2602.0,87.0,airline_a,3,CLEAR,73387,53.15
73,1,1919.0,62.0,Airline A,1,Rainy,143980,46.28
74,9,817.0,60.0,Airline_B,1,Rainy,135457,35.05
75,3,2882.0,52.98315789473684, Airline_B ,2, clear ,194129,54.05
76,13,950.0,60.0,Airline A,3,Clear,114028,29.29
77,15,1490.0,52.98315789473684,Airline_B,3,CLEAR,169246,37.47
78,14,243.0,15.0,Airline_B,1,Clear,105731,15.31
79,7,984.0,76.0, Airline A ,3,Clear,94638,35.71
80,13,495.0,16.0,airline_a,4,CLEAR,70567,13.14
81,22,1592.0,60.0,Airline_B,1,Rainy,107804,34.08
82,7,1267.0,81.0, Airline A ,2,Rainy,158821,41.58
83,20,2716.0,51.0,AIRLINE_A,1,Rainy,53754,46.62
84,15,1162.0,73.0,Airline A,3,CLEAR,77044,34.72
85,12,2256.0,24.0,Airline_B,2,Rainy,117260,41.85
86,17,1538.5094736842104,38.0,Airline_B,1, Rainy ,116912,29.6
87,14,1309.0,42.0,airline_a,4,Rainy,58706,32.86
88,20,2545.0,36.0, Airline_B ,4,Rainy,58894,39.44
89,23,733.0,45.0,Airline A,1,Rainy,199109,21.84
90,12,1256.0,38.0,Airline_B,4,clear,133986,30.34
91,8,1338.0,47.0,Airline A,4,clear,131942,31.17
92,14,832.0,66.0, AIRLINE_A ,4, Rainy ,79725,31.83
93,12,334.0,36.0, Airline_B ,2,Rainy,186998,25.57
94,0,2805.0,64.0,Airline A,4,Rainy,154555,58.69
95,6,850.0,42.0,Airline_B,4,Clear,59496,30.78
96,8,2735.0,77.0,Airline_B,4, Clear ,106447,50.57
97,23,1053.0,52.98315789473684,AIRLINE_A,2,Rainy,151604,37.37
98,0,1538.5094736842104,75.0, AIRLINE_A ,1,clear,138199,55.11
99,11,1642.0,19.0, Airline_B ,3, clear ,91321,29.07
100,7,1538.5094736842104,14.0,airline_a,4,Rainy,105147,29.01
101,23,1776.0,83.0,AIRLINE_A,1, CLEAR ,141396,34.63
102,10,1291.0,47.0, AIRLINE_A ,4,clear,88787,32.88
103,18,2317.0,22.0,airline_a,2,Rainy,71727,35.07
104,16,1538.5094736842104,52.98315789473684,AIRLINE_A,1,clear,145081,28.05
105,7,2942.0,56.0,Airline_B,2,Clear,172721,52.37
106,2,2781.0,97.0,Airline_B,4,Rainy,118056,66.39
107,2,1317.0,61.0,airline_a,4, clear ,184153,38.57
108,0,1640.0,65.0,Airline A,2, Clear ,130102,41.29
109,4,2176.0,24.0,airline_a,3,Rainy,126865,42.26
110,9,1545.0,38.0,Airline_B,2,Rainy,117695,35.66
111,6,2486.0,17.0,AIRLINE_A,4,Rainy,167235,39.03
112,8,1619.0,14.0,Airline_B,2,clear,158777,32.73
113,6,1488.0,38.0,Airline_B,3,Rainy,69033,38.67
114,8,1956.0,56.0,Airline_B,2,CLEAR,191877,42.14
115,7,1465.0,77.0,airline_a,3,Rainy,76832,43.03
116,11,599.0,85.0, Airline_B ,3,clear,165725,35.09
117,1,1780.0,54.0,AIRLINE_A,2,Rainy,195016,49.73
118,0,610.0,11.0,Airline_B,2, Rainy ,69873,27.47
119,15,316.0,36.0,Airline A,1,Rainy,90372,18.32
120,22,1424.0,45.0,Airline_B,4, Rainy ,139464,30.51
121,22,1255.0,45.0, airline_a ,3,clear,196451,25.2
122,23,1927.0,35.0,Airline_B,1,Rainy,167322,29.75
123,4,1910.0,52.0, Airline A ,2,Rainy,150082,45.0
124,2,1538.5094736842104,36.0,AIRLINE_A,4,clear,55110,46.77
125,11,1305.0,78.0,AIRLINE_A,1,Rainy,62087,42.14
126,7,2314.0,29.0,Airline A,3,Clear,132617,41.27
127,21,190.0,20.0,Airline_B,1, Rainy ,150483,14.07
128,2,813.0,83.0,Airline_B,3, Rainy ,59596,44.5
129,0,1981.0,47.0,airline_a,2, Rainy ,157539,49.26
130,2,138.0,15.0,Airline_B,4,CLEAR,68313,18.92
131,4,272.0,81.0,airline_a,4,Rainy,163175,34.55
132,14,752.0,32.0,AIRLINE_A,4,Rainy,164914,21.27
133,13,853.0,56.0,Airline_B,2,Rainy,73705,29.55
134,2,1538.5094736842104,99.0,Airline A,3,clear,123445,44.97
135,0,1181.0,55.0,Airline A,2, Clear ,153892,36.14
136,4,1783.0,21.0,Airline_B,4,Rainy,52023,36.89
137,22,2623.0,99.0,airline_a,2,CLEAR,169654,48.98
138,13,555.0,22.0,airline_a,2,Rainy,130073,19.83
139,6,928.0,71.0,airline_a,2,Rainy,142197,39.09
140,8,994.0,91.0,Airline A,3, Rainy ,114429,40.43
141,14,1484.0,98.0,Airline_B,1, Rainy ,154195,42.51
142,14,2058.0,69.0,Airline_B,1,Rainy,83848,46.07
143,9,1538.5094736842104,52.0,Airline_B,2,Rainy,196451,49.72
144,12,2096.0,85.0, airline_a ,1,Rainy,77766,47.67
145,18,2495.0,77.0,airline_a,1,Clear,118099,45.49
146,6,289.0,14.0, Airline_B ,2,Clear,119122,16.58
147,16,604.0,46.0,AIRLINE_A,2,CLEAR,197159,21.73
148,19,1314.0,81.0,airline_a,4,clear,98868,37.79
149,3,1631.0,40.0,airline_a,1,Clear,169119,34.1
150,4,923.0,18.0,Airline A,3,Clear,145286,24.06
151,22,1028.0,60.0,Airline_B,2,clear,56643,25.77
152,6,1033.0,38.0,Airline_B,4, Rainy ,86727,32.78
153,12,1240.0,87.0,Airline_B,3,Rainy,192077,43.83
154,14,233.0,49.0, Airline A ,1,Rainy,159079,22.94
155,10,2205.0,50.0, Airline_B ,4,Rainy,115697,46.82
156,3,784.0,52.98315789473684,Airline_B,2,clear,66029,40.89
157,12,2819.0,20.0,AIRLINE_A,3, CLEAR ,195298,38.21
158,6,2320.0,32.0,airline_a,2,Rainy,159458,41.93
159,18,1952.0,10.0,Airline_B,1,Rainy,160384,32.14
160,21,914.0,55.0,Airline_B,3,CLEAR,118926,25.4
161,1,1272.0,30.0,Airline_B,1,Rainy,187069,38.61
162,9,179.0,99.0,Airline_B,1,Rainy,105506,36.03
163,12,302.0,45.0,AIRLINE_A,4,Rainy,128229,21.25
164,20,2911.0,63.0,Airline_B,2,Rainy,92092,49.43
165,5,1352.0,96.0,Airline_B,3,CLEAR,112539,46.57
166,11,1799.0,66.0,Airline A,1,Rainy,63428,43.76
167,11,1350.0,10.0,Airline_B,1,Rainy,191330,29.78
168,19,1782.0,52.98315789473684,AIRLINE_A,3,clear,107775,35.15
169,10,1655.0,63.0,Airline A,1,Clear,55469,36.35
170,22,2194.0,64.0,AIRLINE_A,4,Rainy,78854,40.46
171,6,1356.0,49.0,Airline_B,4,Clear,187328,38.02
172,0,1649.0,24.0,Airline_B,4,Rainy,126256,38.75
173,0,1266.0,30.0,AIRLINE_A,4,Rainy,149134,36.34
174,19,1496.0,56.0, Airline_B ,1,CLEAR,182723,32.84
175,12,2803.0,82.0, Airline_B ,3,Rainy,134730,58.07
176,8,570.0,62.0,airline_a,3, Rainy ,77386,33.6
177,2,1135.0,18.0,AIRLINE_A,3,Rainy,197256,33.29
178,6,1453.0,83.0, Airline_B ,3,Rainy,83787,45.74
179,5,2883.0,61.0,airline_a,2,clear,71621,49.38
180,7,2931.0,66.0,Airline_B,3,Clear,127984,53.49
181,8,1067.0,35.0,Airline_B,2,Rainy,84051,32.28
182,4,457.0,50.0,Airline_B,2,CLEAR,99811,27.53
183,0,767.0,44.0,Airline_B,4,Rainy,80447,37.92
184,18,472.0,72.0,airline_a,2,Rainy,178046,27.15
185,9,1131.0,34.0, airline_a ,1,Rainy,134045,31.59
186,11,1245.0,99.0, airline_a ,2,Rainy,166859,44.08
187,23,1471.0,84.0,AIRLINE_A,4,Rainy,195544,36.49
188,14,2823.0,47.0, Airline_B ,2,Clear,53471,43.24
189,21,189.0,11.0,Airline_B,1, Rainy ,170312,11.97
190,23,2845.0,16.0,Airline A,1,Clear,189401,39.03
191,8,639.0,91.0,Airline_B,1,clear,96850,34.22
192,19,2879.0,43.0, Airline_B ,4,Rainy,104220,43.67
193,16,968.0,26.0,Airline_B,4,Rainy,143808,28.28
194,16,140.0,52.0,Airline A,3,Rainy,187469,21.91
195,19,839.0,68.0,Airline A,4,Rainy,103072,29.77
196,11,2046.0,60.0, AIRLINE_A ,1, Rainy ,133820,46.0
197,6,2649.0,63.0,Airline_B,1,clear,73284,50.34
198,1,1324.0,33.0,airline_a,4,Rainy,133369,36.18
199,2,1028.0,34.0,Airline A,2,Rainy,75122,34.51
200,16,2136.0,80.0,AIRLINE_A,4, Clear ,180349,46.53
201,4,2608.0,61.0, airline_a ,4,CLEAR,120553,48.53
202,16,2879.0,79.0, Airline A ,1, Rainy ,144788,55.51
203,23,2899.0,97.0,airline_a,3,clear,112812,51.46
204,16,1024.0,42.0,Airline_B,1,Rainy,57999,29.38
205,16,1681.0,58.0,Airline_B,3,Clear,72436,35.9
206,1,489.0,38.0,Airline A,1,clear,92963,23.91
207,1,1717.0,72.0, Airline A ,4,Rainy,183168,49.51
208,21,355.0,31.0,Airline_B,1,clear,158899,13.58
209,22,808.0,52.98315789473684,Airline_B,1,clear,76201,17.96
210,4,1538.5094736842104,37.0,Airline A,1,Clear,196150,40.11
211,0,2044.0,52.98315789473684,airline_a,4, CLEAR ,55105,54.42
212,0,2597.0,58.0,AIRLINE_A,4,CLEAR,167666,51.69
213,18,109.0,80.0,airline_a,4,CLEAR,144848,23.71
214,1,2971.0,90.0,Airline_B,4,Rainy,52839,67.85
215,20,897.0,93.0,Airline A,3,Rainy,118920,36.53
216,11,976.0,58.0,airline_a,3,clear,93619,29.07
217,5,1128.0,29.0,AIRLINE_A,2,Rainy,92821,33.1
218,22,1115.0,95.0, airline_a ,4,Rainy,175736,36.47
219,3,1924.0,72.0,Airline_B,3, Rainy ,194565,53.23
220,22,473.0,70.0,Airline_B,1,Clear,67069,23.04
221,10,2293.0,58.0,Airline_B,4,Rainy,57531,47.5
222,23,323.0,80.0,AIRLINE_A,2,clear,188808,20.81
223,16,1362.0,10.0,AIRLINE_A,2, Rainy ,188782,24.9
224,5,2324.0,22.0, Airline_B ,2,CLEAR,117155,41.34
225,23,1902.0,96.0,airline_a,1,CLEAR,195047,41.45
226,4,952.0,60.0,Airline A,3,Rainy,112424,37.04
227,19,162.0,65.0,Airline_B,1,Rainy,95603,24.63
228,1,1340.0,92.0,Airline_B,4,Clear,182503,46.47
229,5,2974.0,71.0,Airline_B,2,Rainy,142573,58.63
230,21,1538.5094736842104,41.0, Airline_B ,1,Rainy,190629,44.18
231,10,788.0,39.0, AIRLINE_A ,1,Rainy,153302,29.14
232,15,1584.0,38.0,airline_a,3, clear ,181234,30.65
233,15,1733.0,58.0,Airline_B,3,CLEAR,69675,34.15
234,0,2252.0,54.0,AIRLINE_A,2,Rainy,123997,51.97
235,8,610.0,52.98315789473684, Airline_B ,1,Rainy,198087,31.22
236,5,484.0,25.0,Airline_B,1,Rainy,190905,24.77
237,15,504.0,49.0,Airline A,3,Clear,57896,21.84
238,2,2970.0,28.0,Airline_B,1, clear ,99733,49.09
239,19,617.0,27.0, airline_a ,1, Rainy ,91800,20.01
240,3,575.0,10.0, airline_a ,1,Rainy,146044,21.5
241,18,2100.0,87.0,airline_a,3,Rainy,55347,46.29
242,2,2856.0,56.0,Airline A,2,Rainy,183715,57.23
243,18,1768.0,75.0,Airline_B,4,Rainy,90785,44.03
244,19,1993.0,47.0, AIRLINE_A ,2, Rainy ,68681,37.47
245,6,2918.0,60.0,Airline_B,4,clear,153864,53.17
246,19,1560.0,72.0,Airline_B,1,Rainy,196964,36.61
247,8,2824.0,13.0,Airline_B,2, CLEAR ,97299,41.2
248,0,813.0,10.0,Airline_B,4,Rainy,67073,27.93
249,7,182.0,17.0,airline_a,3,Rainy,152304,17.67
250,6,1268.0,38.0, AIRLINE_A ,3,CLEAR,80682,31.37
251,17,2604.0,64.0,Airline_B,2,clear,174302,45.33
252,7,1538.5094736842104,12.0,Airline_B,2,clear,195361,34.67
253,0,2148.0,41.0,AIRLINE_A,1,CLEAR,165359,45.48
254,10,150.0,19.0,Airline_B,2,Rainy,188999,18.19
255,17,784.0,83.0,Airline A,1, clear ,116707,27.87
256,22,816.0,92.0, Airline_B ,1,Rainy,115428,33.01
257,9,1569.0,43.0,airline_a,3,CLEAR,100601,34.67
258,2,548.0,96.0, Airline_B ,3,Rainy,183611,43.2
259,6,980.0,64.0, Airline_B ,4,Rainy,161487,38.71
260,15,587.0,41.0,AIRLINE_A,3,Rainy,199817,25.52
261,15,1923.0,52.98315789473684,Airline_B,3,Rainy,78228,41.75
262,19,2181.0,16.0,Airline_B,2, Rainy ,172788,37.09
263,16,2242.0,17.0,airline_a,3,Rainy,147239,36.05
264,1,1674.0,74.0,Airline_B,4,clear,76928,42.75
265,0,2301.0,66.0,airline_a,2, Rainy ,68322,55.91
266,15,349.0,76.0,Airline A,4,CLEAR,137896,24.04
267,11,773.0,97.0,Airline_B,3,Clear,112292,35.58
268,4,537.0,96.0,Airline_B,4,Rainy,79055,41.86
269,4,2265.0,68.0,Airline_B,2,CLEAR,92891,47.14
270,22,870.0,81.0,Airline_B,1,Rainy,131912,31.36
271,8,367.0,52.98315789473684,Airline_B,4,CLEAR,187660,30.11
272,8,2084.0,52.98315789473684,Airline_B,4,Rainy,140536,51.37
273,2,1177.0,60.0, Airline_B ,2,Clear,56304,39.49
274,18,335.0,17.0,airline_a,2,Rainy,57345,13.76
275,15,488.0,52.98315789473684, Airline_B ,4, Rainy ,141006,22.17
276,15,862.0,44.0,airline_a,3, Rainy ,196424,27.98
277,2,1538.5094736842104,97.0,Airline_B,4,Rainy,179350,57.78
278,19,2548.0,87.0,Airline_B,2,clear,69446,50.21
279,23,723.0,41.0,AIRLINE_A,1,Rainy,52336,21.24
280,21,2914.0,55.0,Airline_B,1,Clear,112032,43.69
281,23,1352.0,25.0,Airline_B,3,CLEAR,147852,26.18
282,0,677.0,77.0,Airline A,4,clear,188593,36.89
283,23,2222.0,46.0,Airline_B,1,Rainy,68474,38.16
284,19,534.0,63.0, Airline_B ,4,Clear,105718,23.69
285,10,1538.5094736842104,94.0, Airline_B ,2,clear,94629,52.02
286,16,863.0,52.98315789473684,airline_a,1,clear,95232,20.83
287,7,2885.0,64.0,Airline_B,3, Rainy ,136544,56.93
288,3,2953.0,57.0,Airline_B,2,Rainy,100669,59.22
289,5,1429.0,91.0,Airline_B,3,Clear,119184,45.72
290,7,2245.0,16.0, Airline_B ,2, Rainy ,63140,40.48
291,19,2945.0,83.0, AIRLINE_A ,1,Rainy,176468,54.51
292,2,1458.0,16.0,Airline A,3,clear,133457,31.68
293,15,2582.0,42.0, Airline_B ,3,Clear,64357,41.97
294,2,546.0,32.0,Airline_B,2,Rainy,161672,28.24
295,17,1538.5094736842104,94.0,Airline A,3,CLEAR,118673,45.98
296,13,1431.0,28.0,AIRLINE_A,2, Rainy ,171673,30.53
297,17,348.0,28.0, Airline_B ,2,Rainy,115633,18.25
298,1,265.0,45.0, AIRLINE_A ,2,Rainy,146111,26.89
299,21,1458.0,38.0, Airline_B ,2,Rainy,128258,30.8
300,2,1538.5094736842104,69.0,AIRLINE_A,1,Rainy,193996,41.82
301,15,641.0,91.0,AIRLINE_A,2,Rainy,119286,33.57
302,8,858.0,11.0,AIRLINE_A,4,clear,143269,19.91
303,3,2228.0,10.0,airline_a,3,CLEAR,124071,35.53
304,0,2280.0,56.0,Airline_B,4,Rainy,80651,53.07
305,3,896.0,78.0, airline_a ,1,Rainy,120202,38.85
306,0,237.0,29.0,Airline A,4,Rainy,98777,28.53
307,13,2331.0,20.0,Airline_B,3,CLEAR,198066,35.69
308,20,1538.5094736842104,11.0,airline_a,4,Rainy,117263,20.09
309,15,2932.0,76.0,airline_a,1,clear,150158,50.97
310,19,1975.0,52.98315789473684,Airline_B,2, Rainy ,60800,47.84
311,23,168.0,21.0,airline_a,4,Rainy,87823,13.05
312,7,2693.0,29.0,Airline_B,1,Clear,113878,45.16
313,6,2200.0,14.0,Airline_B,1,clear,68708,36.05
314,2,1573.0,46.0,Airline_B,3, Rainy ,193891,42.0
315,16,304.0,47.0,Airline_B,3,Rainy,113870,23.43
316,0,2273.0,18.0,AIRLINE_A,4,Rainy,59283,40.08
317,15,142.0,62.0,Airline_B,2,CLEAR,128707,23.83
318,11,2006.0,53.0, Airline A ,1, CLEAR ,55774,37.91
319,18,2258.0,95.0,Airline A,4, Clear ,192055,48.71
320,21,860.0,33.0,Airline A,1, clear ,146468,19.29
321,22,2995.0,90.0,Airline A,1,CLEAR,146334,51.89
322,21,2242.0,83.0,airline_a,2,CLEAR,68133,44.24
323,13,2094.0,39.0, airline_a ,2,Rainy,196011,40.1
324,5,2035.0,68.0,AIRLINE_A,4, Rainy ,50781,49.46
325,5,999.0,96.0, Airline A ,2,CLEAR,164586,40.44
326,12,459.0,90.0,airline_a,2,Rainy,77624,34.15
327,18,1819.0,90.0,airline_a,4,Rainy,56823,43.31
328,21,380.0,52.98315789473684,Airline_B,2,Clear,68489,12.88
329,7,1987.0,18.0,Airline_B,3,Rainy,79118,41.42
330,1,766.0,49.0,Airline_B,1, CLEAR ,150417,31.25
331,20,192.0,75.0,AIRLINE_A,1, CLEAR ,131816,21.15
332,0,1538.5094736842104,34.0,Airline_B,1,Rainy,63565,33.18
333,14,2069.0,82.0,Airline_B,1,clear,141179,45.12
334,0,160.0,31.0,Airline_B,4, clear ,73648,24.07
335,4,1538.5094736842104,13.0,AIRLINE_A,1, CLEAR ,91971,43.29
336,15,1128.0,35.0, AIRLINE_A ,1, CLEAR ,68658,23.39
337,18,1589.0,67.0,airline_a,1,clear,71253,34.44
338,3,703.0,38.0,airline_a,1,Clear,138664,25.51
339,2,781.0,96.0,Airline_B,3,Clear,153850,42.69
340,16,2681.0,46.0, Airline_B ,1,Clear,187924,43.77
341,16,1528.0,84.0,Airline_B,3,Rainy,183623,42.7
342,11,2985.0,79.0,Airline_B,4,Rainy,121947,59.64
343,13,2792.0,27.0, AIRLINE_A ,2,Rainy,111001,43.41
344,20,2380.0,94.0,Airline A,1,Clear,172775,47.97
345,5,623.0,51.0,AIRLINE_A,2, Clear ,83243,26.51
346,2,2493.0,50.0,Airline_B,2,Rainy,125939,54.55
347,8,2693.0,47.0,AIRLINE_A,4,Rainy,107828,48.5
348,4,2068.0,43.0,AIRLINE_A,2,Rainy,188311,41.74
349,23,1201.0,26.0, Airline_B ,3,Clear,56710,20.72
350,16,1853.0,46.0,Airline_B,2,Rainy,87991,37.57
351,13,1936.0,34.0,AIRLINE_A,2,Rainy,188043,36.16
352,20,2941.0,85.0,airline_a,2,Clear,135445,50.76
353,2,2396.0,96.0,Airline A,1,Rainy,130257,60.81
354,0,2194.0,95.0,AIRLINE_A,1,Clear,87711,54.65
355,19,1244.0,94.0,Airline A,3,clear,56530,34.7
356,20,2361.0,36.0, Airline A ,3, Clear ,61116,33.12
357,22,2386.0,66.0,Airline_B,1,Rainy,115794,43.86
358,0,1179.0,40.0,Airline_B,3,Rainy,181354,35.46
359,2,2497.0,15.0,Airline_B,1, Clear ,182970,41.38
360,17,206.0,49.0,Airline A,4,Rainy,54135,22.23
361,9,2978.0,52.98315789473684, Airline_B ,2,Rainy,187701,46.74
362,21,147.0,62.0,AIRLINE_A,2,Rainy,159472,21.31
363,2,436.0,80.0,airline_a,3,Rainy,175147,34.52
364,7,1149.0,19.0,Airline_B,1,Clear,139087,29.95
365,13,2951.0,54.0,AIRLINE_A,1, Rainy ,83380,53.57
366,23,1380.0,26.0,Airline A,3,CLEAR,179951,22.39
367,17,2155.0,35.0, Airline_B ,1,clear,67071,38.54
368,14,724.0,94.0,Airline_B,4,Rainy,70074,38.07
369,21,1990.0,71.0, Airline_B ,2, clear ,117843,40.25
370,22,1376.0,55.0,Airline A,3, Rainy ,89901,32.65
371,1,1815.0,73.0,Airline_B,3,Rainy,61205,51.02
372,9,2866.0,11.0, Airline_B ,1,clear,174661,39.53
373,1,402.0,63.0,airline_a,3,Clear,55906,31.3
374,16,738.0,74.0,Airline_B,4,Clear,183663,28.97
375,7,155.0,60.0,Airline_B,1,CLEAR,175576,24.95
376,0,825.0,62.0,Airline_B,1,Rainy,112987,39.6
377,8,625.0,45.0,AIRLINE_A,1,Rainy,130685,29.1
378,10,573.0,35.0,Airline A,1,Rainy,160454,24.96
379,21,127.0,38.0,airline_a,4, clear ,155487,13.32
380,15,2225.0,30.0, Airline A ,1,Clear,104400,33.69
381,6,464.0,20.0,Airline_B,3, clear ,81852,21.08
382,9,2813.0,49.0,airline_a,4,Rainy,102756,51.7
383,22,625.0,20.0,airline_a,2,CLEAR,165357,15.91
384,2,2846.0,45.0,Airline_B,2,Rainy,169052,58.15
385,17,1435.0,68.0, Airline_B ,3, CLEAR ,106481,35.6
386,23,982.0,48.0, Airline_B ,3,Rainy,51283,27.68
387,12,1130.0,52.98315789473684,AIRLINE_A,4, Rainy ,83691,37.87
388,6,1126.0,64.0,Airline A,2,CLEAR,182197,34.05
389,3,1746.0,52.98315789473684, AIRLINE_A ,2, clear ,76170,37.5
390,12,1018.0,31.0,Airline_B,2, Rainy ,58438,30.03
391,19,2897.0,78.0,Airline_B,2,Rainy,70095,55.74
392,0,2510.0,65.0,Airline A,2, Clear ,197226,50.39
393,7,1874.0,42.0,Airline_B,1,Clear,189076,37.73
394,13,1631.0,45.0, Airline_B ,3,Rainy,59752,37.34
395,15,2953.0,29.0,Airline_B,1, CLEAR ,105426,43.9
396,13,2886.0,92.0,AIRLINE_A,2,Rainy,76819,59.44
397,11,2006.0,90.0,Airline_B,4,Rainy,142051,51.84
398,18,1315.0,71.0,Airline_B,4,Clear,82994,33.62
399,22,1754.0,82.0,Airline A,2, CLEAR ,196108,37.56
400,14,584.0,35.0,AIRLINE_A,2,clear,147756,20.29
401,1,2175.0,75.0, Airline_B ,4, CLEAR ,190659,54.37
402,1,813.0,82.0,Airline_B,1,clear,145665,39.78
403,22,1162.0,82.0,airline_a,1,Rainy,181717,33.45
404,21,2076.0,52.98315789473684, Airline A ,2,Rainy,131835,37.73
405,18,1396.0,26.0,Airline_B,1,CLEAR,172232,25.96
406,21,1354.0,10.0, Airline_B ,4,Clear,199960,18.18
407,21,2233.0,98.0,Airline_B,1,Clear,93732,46.91
408,16,225.0,70.0,Airline_B,2, Rainy ,96305,26.6
409,19,2959.0,52.0,Airline A,4,CLEAR,59346,43.67
410,9,636.0,51.0,Airline_B,1,Clear,50587,29.11
411,5,2292.0,34.0,Airline_B,3,Rainy,62763,44.54
412,14,2172.0,48.0,airline_a,4,Rainy,119615,42.0
413,21,1703.0,44.0,Airline_B,4,Clear,170987,30.61
414,10,166.0,12.0,AIRLINE_A,3, Clear ,141353,13.22
